date,session,direction,outcome,pnl,bars_held,h4_up,h4_down,h4_bull_st,h4_bear_st,weekly_up,atr_regime,dist_high,dow,month,atr,s_range
2023-03-28 00:00:00+00:00,asian,short,loss,-100.0,1,False,True,True,False,True,0.6151577222738667,2.2250343794728407,1,3,1.6517264697750835,4.424999999999727
2023-03-28 00:00:00+00:00,london,long,win,100.0,135,False,True,False,True,True,0.9163496993855994,2.5269002929924778,1,3,2.433586269053372,8.149999999999864
2023-03-28 00:00:00+00:00,ny,long,win,100.0,198,False,False,True,False,True,1.162018276370827,1.8622328998716142,1,3,2.7651024945431715,9.407999999999674
2023-03-28 00:00:00+00:00,ny,short,loss,-100.0,16,False,False,True,False,True,1.162018276370827,1.8622328998716142,1,3,2.7651024945431715,9.407999999999674
2023-03-29 00:00:00+00:00,asian,long,loss,-100.0,1,False,False,False,True,True,0.7576974121398645,1.8574294380725394,2,3,1.7104689744892172,6.14850000000024
2023-03-29 00:00:00+00:00,asian,short,loss,-100.0,6,False,False,False,True,True,0.7576974121398645,1.8574294380725394,2,3,1.7104689744892172,6.14850000000024
2023-03-29 00:00:00+00:00,london,long,loss,-100.0,1,False,False,False,True,True,0.9391882156666644,2.107358256510916,2,3,2.0826795891068097,8.397000000000162
2023-03-29 00:00:00+00:00,ny,long,win,100.0,3,False,True,False,False,True,1.2934898602821114,2.096064682965327,2,3,2.9177533141982286,8.73299999999972
2023-04-10 00:00:00+00:00,asian,long,loss,-100.0,2,True,False,False,True,True,0.7941760575095284,0.7866503496907434,0,4,2.1341544785684685,5.565500000000156
2023-04-10 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,False,True,True,0.7941760575095284,0.7866503496907434,0,4,2.1341544785684685,5.565500000000156
2023-04-10 00:00:00+00:00,london,long,loss,-100.0,2,True,False,False,False,True,0.660951617103625,0.4583776704592051,0,4,1.7714879704224042,6.898499999999785
2023-04-10 00:00:00+00:00,london,short,loss,-100.0,1,True,False,False,False,True,0.660951617103625,0.4583776704592051,0,4,1.7714879704224042,6.898499999999785
2023-04-10 00:00:00+00:00,ny,long,loss,-100.0,20,True,False,False,True,True,0.9524347566232964,0.9006021445901246,0,4,2.524091968982627,3.96550000000002
2023-04-10 00:00:00+00:00,ny,short,loss,-100.0,1,True,False,False,True,True,0.9524347566232964,0.9006021445901246,0,4,2.524091968982627,3.96550000000002
2023-04-11 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,False,True,0.745000718320085,0.4514880608965738,1,4,1.5810464414650118,5.018999999999778
2023-04-11 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,False,False,True,0.745000718320085,0.4514880608965738,1,4,1.5810464414650118,5.018999999999778
2023-04-11 00:00:00+00:00,london,long,loss,-100.0,1,True,False,True,False,True,0.9463480109149791,0.22328329583225665,1,4,1.9857145196241135,6.19150000000036
2023-04-11 00:00:00+00:00,london,short,loss,-100.0,3,True,False,True,False,True,0.9463480109149791,0.22328329583225665,1,4,1.9857145196241135,6.19150000000036
2023-04-11 00:00:00+00:00,ny,long,loss,-100.0,1,True,False,False,True,True,1.1827245699060471,0.16048357120227835,1,4,2.348096452571343,5.544999999999618
2023-04-11 00:00:00+00:00,ny,short,loss,-100.0,1,True,False,False,True,True,1.1827245699060471,0.16048357120227835,1,4,2.348096452571343,5.544999999999618
2023-04-12 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,True,False,True,1.0164833947474805,0.11057107568727162,2,4,1.9622937123646556,6.9164999999998145
2023-04-12 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,True,False,True,1.0164833947474805,0.11057107568727162,2,4,1.9622937123646556,6.9164999999998145
2023-04-12 00:00:00+00:00,london,long,loss,-100.0,1,True,False,True,False,True,1.0473238297556697,0.3997827224617125,2,4,2.0647329976114164,6.2345000000000255
