date,direction,session,pnl,outcome,reason,hour,dow,atr,spike,strategy
2025-10-09 00:00:00+00:00,long,london,76.20219283654275,win,sl,8,3,9.00878618568135,19.658500000000004,S2_Fade
2025-10-15 00:00:00+00:00,long,ny,-100.00000000000125,loss,sl,15,2,8.740815102820587,14.408500000000458,S2_Fade
2025-12-16 00:00:00+00:00,short,ny,-100.00000000000368,loss,sl,15,1,10.220980332155978,22.170000000000073,S2_Fade
2026-01-05 00:00:00+00:00,short,ny,72.13842329272796,win,sl,15,0,10.47581887423997,19.07849999999962,S2_Fade
2026-01-28 00:00:00+00:00,long,ny,91.64558939889008,win,sl,15,2,19.59115007940959,50.58299999999963,S2_Fade
2026-02-16 00:00:00+00:00,long,ny,-100.00000000000475,loss,sl,15,0,8.823814614725933,19.389999999999418,S2_Fade
2026-03-05 00:00:00+00:00,long,ny,73.56037951617603,win,sl,15,3,21.030782187191775,41.33150000000023,S2_Fade
2026-03-12 00:00:00+00:00,long,ny,-100.00000000000446,loss,sl,15,3,12.735670469496736,33.24499999999989,S2_Fade
2026-04-16 00:00:00+00:00,short,ny,-99.99999999999794,loss,sl,15,3,12.237025484186745,24.144999999999527,S2_Fade
2026-04-28 00:00:00+00:00,long,london,-100.00000000000509,loss,sl,8,1,10.497105597567485,18.475000000000364,S2_Fade
2026-04-30 00:00:00+00:00,short,london,-99.99999999999966,loss,sl,8,3,10.977901364155683,31.373499999999694,S2_Fade
