date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2020-05-20,long,-100.00000000000091,loss,sl,17,2,2020,2020-05,1746.5585,3.009693382143923
2020-05-25,short,-99.99999999999646,loss,sl,6,0,2020,2020-05,1728.835,2.0919736798924364
2020-05-25,long,119.31423178433562,win,sl,23,0,2020,2020-05,1726.23,1.7700866824113477
2020-05-26,long,-100.00000000000146,loss,sl,0,1,2020,2020-05,1730.4099999999999,1.7669960499578987
2020-05-26,long,-99.99999999999508,loss,sl,1,1,2020,2020-05,1730.4099999999999,1.8201749035323231
2020-05-26,short,250.0,win,tp,1,1,2020,2020-05,1732.6934999999999,1.7840742790661228
2020-05-27,short,-100.00000000000331,loss,sl,16,2,2020,2020-05,1710.3300000000002,2.9749388989522614
2020-05-28,short,118.08553893390526,win,sl,12,3,2020,2020-05,1724.96,2.7918429666393947
2020-05-31,long,-99.99999999999734,loss,sl,22,6,2020,2020-05,1731.1150000000002,3.317738818657605
2020-06-02,long,93.55568693208481,win,sl,1,1,2020,2020-06,1737.4415,2.8014531510761076
2020-06-02,long,-99.99999999999683,loss,sl,6,1,2020,2020-06,1735.6115,2.2602842355086783
2020-06-03,long,-100.00000000000229,loss,sl,0,2,2020,2020-06,1724.5135,3.4219970293574207
2020-06-03,long,-100.00000000000125,loss,sl,2,2,2020,2020-06,1724.5135,2.943929273161038
2020-06-03,short,-100.00000000000028,loss,sl,19,2,2020,2020-06,1700.6,3.7397083729870135
2020-06-04,short,-99.99999999999743,loss,sl,8,3,2020,2020-06,1704.9914999999999,2.723603453220746
2020-06-08,short,-99.99999999999875,loss,sl,0,0,2020,2020-06,1683.5085,2.9150328600956437
2020-06-09,short,-99.99999999999619,loss,sl,4,1,2020,2020-06,1697.4834999999998,2.0878059509166973
2020-06-09,long,86.37460217927307,win,sl,20,1,2020,2020-06,1714.2385000000002,2.755300463822985
2020-06-09,long,-99.99999999999785,loss,sl,22,1,2020,2020-06,1714.2385000000002,2.502437516946483
2020-06-10,long,-100.00000000000158,loss,sl,15,2,2020,2020-06,1714.2385000000002,2.813660300355151
2020-06-11,long,186.2563842873051,win,sl,6,3,2020,2020-06,1726.94,4.010052590816189
2020-06-15,long,-100.00000000000324,loss,sl,1,0,2020,2020-06,1731.2815,2.6079697018305135
2020-06-15,short,-100.00000000000175,loss,sl,20,0,2020,2020-06,1728.9785,3.1671585028488507
2020-06-15,short,-99.99999999999662,loss,sl,23,0,2020,2020-06,1728.9785,2.971058575349489
2020-06-16,long,-100.00000000000178,loss,sl,8,1,2020,2020-06,1729.7085,2.942108206803771
2020-06-16,long,-99.99999999999928,loss,sl,16,1,2020,2020-06,1727.1014999999998,3.8961288425237224
2020-06-17,long,93.1223107943533,win,sl,5,2,2020,2020-06,1724.9714999999999,2.4950738761819724
2020-06-17,long,-99.99999999999447,loss,sl,22,2,2020,2020-06,1725.865,1.986825267369223
2020-06-18,long,112.6886528326305,win,sl,3,3,2020,2020-06,1724.9714999999999,1.7945013916675474
