date,direction,session,pnl,outcome,reason,hour,dow,atr,level,strategy
2020-08-27,short,sr_bounce,-99.99999999999949,loss,sl,20,3,10.351300521068477,1932.465,S3_SR_Bounce
2020-08-31,long,sr_bounce,182.8044882120945,win,sl,8,0,3.8387916099149435,1956.66,S3_SR_Bounce
2020-09-02,long,sr_bounce,99.76264348501324,win,sl,7,2,4.008224129361683,1956.66,S3_SR_Bounce
2020-09-08,short,sr_bounce,-99.99999999999977,loss,sl,16,1,4.996509815290904,1939.1085,S3_SR_Bounce
2020-09-10,long,sr_bounce,-99.99999999999817,loss,sl,23,3,4.173685479039781,1943.7415,S3_SR_Bounce
2020-09-15,long,sr_bounce,111.91235401893121,win,sl,15,1,3.761050269346788,1950.715,S3_SR_Bounce
2020-09-21,long,sr_bounce,123.66330898317798,win,sl,14,0,6.4929030617926715,1882.6685000000002,S3_SR_Bounce
2020-09-28,short,sr_bounce,-100.00000000000118,loss,sl,13,0,4.4015154596294845,1877.1014999999998,S3_SR_Bounce
2020-09-29,long,sr_bounce,110.57887463901528,win,sl,5,1,2.31539783276924,1875.5600000000002,S3_SR_Bounce
2020-09-29,short,sr_bounce,120.46399450401282,win,sl,22,1,2.0235068994986514,1899.455,S3_SR_Bounce
2020-09-30,short,sr_bounce,80.64311845601515,win,sl,11,2,2.3457616449395577,1887.1135,S3_SR_Bounce
2020-10-01,long,sr_bounce,131.75780449002113,win,sl,0,3,3.0150012777443433,1884.7885,S3_SR_Bounce
2020-10-01,short,sr_bounce,-100.00000000000293,loss,sl,0,3,3.0150012777443433,1887.1135,S3_SR_Bounce
2020-10-05,short,sr_bounce,80.83742315872637,win,sl,16,0,3.093412539168156,1917.155,S3_SR_Bounce
2020-10-06,long,sr_bounce,-100.00000000000063,loss,sl,19,1,3.8397455939538974,1889.8465,S3_SR_Bounce
2020-10-07,short,sr_bounce,109.04228696317868,win,sl,7,2,3.145416039649027,1898.01,S3_SR_Bounce
2020-10-08,short,sr_bounce,-99.99999999999586,loss,sl,13,3,2.1327916151720703,1898.01,S3_SR_Bounce
2020-10-13,long,sr_bounce,97.13104028466161,win,sl,2,1,2.759039814870656,1911.2485,S3_SR_Bounce
2020-10-15,short,sr_bounce,250.0,win,tp,7,3,2.5828933130055365,1903.6850000000002,S3_SR_Bounce
2020-10-19,long,sr_bounce,250.0,win,tp,4,0,2.8225487171993593,1900.2500000000002,S3_SR_Bounce
2020-10-19,short,sr_bounce,-99.99999999999956,loss,sl,7,0,2.966887766649747,1910.7365000000002,S3_SR_Bounce
2020-10-20,short,sr_bounce,119.61572791533509,win,sl,0,1,2.517295790632247,1903.6850000000002,S3_SR_Bounce
2020-10-22,long,sr_bounce,97.69377709896533,win,sl,15,3,4.212245551105192,1898.8785,S3_SR_Bounce
2020-10-27,short,sr_bounce,250.0,win,tp,6,1,2.17564097769503,1910.4785,S3_SR_Bounce
2020-10-27,long,sr_bounce,250.0,win,tp,9,1,2.599747617241461,1897.9215,S3_SR_Bounce
2020-11-02,short,sr_bounce,82.3372790769312,win,sl,6,0,2.343112436069107,1885.205,S3_SR_Bounce
2020-11-04,long,sr_bounce,250.0,win,tp,10,2,5.215234962191575,1889.4935,S3_SR_Bounce
2020-11-09,long,sr_bounce,80.65125814112406,win,sl,23,0,8.65179539842854,1859.7185,S3_SR_Bounce
2020-11-10,short,sr_bounce,250.0,win,tp,8,1,4.502515649523741,1890.295,S3_SR_Bounce
2020-11-29,short,sr_bounce,136.100012608209,win,sl,23,6,3.559057098958935,1790.0449999999998,S3_SR_Bounce
2020-12-01,short,sr_bounce,-99.99999999999875,loss,sl,5,1,3.082437974440192,1784.5414999999998,S3_SR_Bounce
2020-12-02,short,sr_bounce,132.97976694794204,win,sl,0,2,3.0223187903665347,1813.9164999999998,S3_SR_Bounce
2020-12-07,short,sr_bounce,-99.99999999999726,loss,sl,10,0,2.952188463396932,1832.5700000000002,S3_SR_Bounce
2020-12-07,long,sr_bounce,131.1633648318729,win,sl,13,0,2.930825766908579,1830.51,S3_SR_Bounce
2020-12-08,long,sr_bounce,250.0,win,tp,11,1,2.976623520134477,1860.3525000000002,S3_SR_Bounce
2020-12-10,short,sr_bounce,250.0,win,tp,14,3,4.3038870893640055,1850.0900000000001,S3_SR_Bounce
2020-12-15,short,sr_bounce,-100.00000000000134,loss,sl,5,1,2.8927978932531073,1841.555,S3_SR_Bounce
2020-12-16,long,sr_bounce,250.0,win,tp,19,2,3.1153567051836664,1844.8799999999999,S3_SR_Bounce
2020-12-21,long,sr_bounce,-100.00000000000162,loss,sl,12,0,6.636603132737611,1877.4550000000002,S3_SR_Bounce
2020-12-23,long,sr_bounce,121.3582971201944,win,sl,12,2,2.6493834381604517,1858.9785,S3_SR_Bounce
2020-12-28,long,sr_bounce,126.41080063938364,win,sl,11,0,3.123895792837041,1869.575,S3_SR_Bounce
2020-12-31,long,sr_bounce,250.0,win,tp,6,3,2.083919810878111,1885.54,S3_SR_Bounce
2021-01-07,short,sr_bounce,97.98780679356963,win,sl,6,3,2.561458205715028,1927.73,S3_SR_Bounce
2021-01-12,short,sr_bounce,-100.00000000000189,loss,sl,20,1,3.6318607219981685,1855.574,S3_SR_Bounce
2021-01-13,short,sr_bounce,138.33056235610178,win,sl,1,2,2.700883088330256,1863.0835000000002,S3_SR_Bounce
2021-01-18,short,sr_bounce,122.42120682946566,win,sl,6,0,3.1997053226283154,1840.8735,S3_SR_Bounce
2021-01-19,short,sr_bounce,157.45329534240537,win,sl,5,1,1.7153423517832074,1840.8735,S3_SR_Bounce
2021-01-20,short,sr_bounce,250.0,win,tp,9,2,1.8113200748980685,1857.0065,S3_SR_Bounce
2021-01-28,short,sr_bounce,-100.00000000000297,loss,sl,14,3,3.5242478444093965,1861.8165000000001,S3_SR_Bounce
2021-02-02,long,sr_bounce,89.00006308183555,win,sl,14,1,4.870152657223596,1829.5565,S3_SR_Bounce
2021-02-09,short,sr_bounce,80.05246023711507,win,sl,18,1,2.832095230105756,1839.2050000000002,S3_SR_Bounce
2021-02-10,short,sr_bounce,-100.00000000000075,loss,sl,16,2,4.29768920380226,1839.2050000000002,S3_SR_Bounce
2021-02-11,long,sr_bounce,250.0,win,tp,3,3,1.8636115658195196,1834.1449999999998,S3_SR_Bounce
2021-02-23,long,sr_bounce,185.92065153037015,win,sl,14,1,3.4675891499662437,1795.6975,S3_SR_Bounce
2021-02-24,short,sr_bounce,136.35211741738223,win,sl,12,2,2.1221746893703606,1810.3325000000002,S3_SR_Bounce
2021-02-24,long,sr_bounce,-100.00000000000027,loss,sl,14,2,3.8941019396365744,1783.6375,S3_SR_Bounce
2021-03-01,short,sr_bounce,146.8123498275544,win,sl,7,0,2.450319801782797,1759.91,S3_SR_Bounce
2021-03-02,short,sr_bounce,130.90274828419118,win,sl,23,1,2.6444864376812487,1740.695,S3_SR_Bounce
2021-03-04,short,sr_bounce,125.31405562873583,win,sl,13,3,3.2704418141807223,1723.3004999999998,S3_SR_Bounce
2021-03-08,short,sr_bounce,-99.99999999999723,loss,sl,0,0,3.1015214704728757,1707.7775,S3_SR_Bounce
2021-03-09,short,sr_bounce,80.66910053216994,win,sl,12,1,2.7596128464652896,1707.7775,S3_SR_Bounce
